record_id,redcap_event_name,random,protein_1,protein_2,protein_3,eth_v2_a71477___1,eth_v2_a71477___2,eth_v2_a71477___3,eth_v2_a71477___4,eth_v2_a71477___5,eth_v2_a71477___6,eth_v2_a71477___7,eth_v2_a71477___8,eth_v2_a71477___9,eth_v2_a71477___99,ffq_chk_v2_3d0d37,gender___1,gender___2,gender___99,edu_v2_57dade,prol_email,consent_complete,block_order_1,q_shirt_color_1,shirt_style_1___1,shirt_style_1___2,shirt_style_1___3,shirt_style_1___4,shirt_style_1___5,shirt_style_1___6,shirt_style_1___9,shirt_size_1,shirt_material_1,pen_color_1,pen_tip_1,pen_paper_1,tortilla_1,topp_1___1,topp_1___2,topp_1___3,topp_1___4,topp_1___5,topp_1___6,topp_1___7,topp_1___8,topp_1___9,topp_1___10,topp_1___11,topp_1___12,topp_1___98,dob,addons_1___1,addons_1___2,addons_1___97,bev_1,arm_1_complete,block_order_2,q_shirt_color_2,shirt_style_2___1,shirt_style_2___2,shirt_style_2___3,shirt_style_2___4,shirt_style_2___5,shirt_style_2___6,shirt_style_2___9,shirt_size_2,shirt_material_2,pen_color_2,pen_tip_2,pen_paper_2,tortilla_2,topp_2___1,topp_2___2,topp_2___3,topp_2___4,topp_2___5,topp_2___6,topp_2___7,topp_2___8,topp_2___9,topp_2___10,topp_2___11,topp_2___12,topp_2___98,addons_2___1,addons_2___2,addons_2___97,bev_2,arm_2_complete,block_order_3,q_shirt_color,shirt_style___1,shirt_style___2,shirt_style___3,shirt_style___4,shirt_style___5,shirt_style___6,shirt_style___9,shirt_size,shirt_material,pen_color,pen_tip,pen_paper,tortilla,topp___1,topp___2,topp___3,topp___4,topp___5,topp___6,topp___7,topp___8,topp___9,topp___10,topp___11,topp___12,topp___98,addons___1,addons___2,addons___97,bev,arm_3_complete,q_awareness,state,stanford_survey_2_complete,cty_al_v2_e22628,cty_ak_v2_929bd2,cty_az_v2_b780e3,cty_ark_v2_955bdf,cty_ca_v2_74012e,cty_col_v2_143aa2,cty_ct_v2_8af58b,cty_de_v2_77b4ae,cty_fla_v2_6e16f0,cty_ga_v2_6b4912,cty_hi_v2_3fe9cc,cty_id_v2_13a608,cty_ill_v2_09efc4,cty_ind_v2_932836,cty_iowa_v2_51d17f,cty_ks_v2_586289,cty_ky_v2_dd7186,cty_lou_v2_11a316,cty_me_v2_76342c,cty_md_v2_86408a,cty_ma_v2_2b0f6e,cty_mi_v2_c533af,cty_mn_v2_a6b8c9,cty_ms_v2_2eb3ea,cty_mo_v2_f7cf0f,cty_mt_v2_eece85,cty_nb_v2_1845de,cty_nv_v2_cbfd57,cty_nh_v2_7f5683,cty_nj_v2_d518e1,cty_nm_v2_2da9b4,cty_ny_v2_72a698,cty_nc_v2_60c0bd,cty_nd_v2_4e52e2,cty_oh_v2_e7c461,cty_ok_v2_eb98bf,cty_or_v2_1c1add,cty_pa_v2_73e5b9,cty_ri_v2_04dfa5,cty_sc_v2_f48d96,cty_sd_v2_8e86fa,cty_tn_v2_de9d03,cty_tx_v2_ef1618,cty_ut_v2_519d25,cty_vt_v2_74ef52,cty_va_v2_ab6104,cty_wa_v2_ee038c,cty_wv_v2_1d9ac9,cty_wi_v2_950d32,cty_wy_v2_ac720c,cty_gu_v2_d42386,cty_pr_v2_a67c59,cty_minor_v2_0217db,cty_vi_v2_941d0b,polit_v2_d30881,ffq_clothes_v2_45c7a8,ffq_pens_v2_5ebe33,ffq_cow_v2_0b5bcd,ffq_pig_v2_6469db,ffq_fish_v2_29061b,ffq_pb_v2_b7a5db,attn_v2_ecff92,ffq_dairy_v2_c6de32,ffq_eggs_v2_27b663,time_end2_v2_adfa0b,stanford_survey_3_complete,aware_chicken_v2,aware_stk_v2,aware_barba_v2,aware_carn_v2,aware_sofr_v2,aware_chicknitas_v2,aware_veg_v2,stanford_survey_4_complete,stanford_debrief_complete
71,consent_august_202_arm_1,3,4,,,,,,,,,,,,,,,,,,djtrump@gmail.com,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,consent_august_202_arm_1,3,1,,,,,,,,,,,,,,,,,,trump@gmail.com,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,consent_august_202_arm_1,1,3,,,,,,,,,,,,,,,,,,tysonfoods@gmail.com,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,consent_august_202_arm_1,2,3,,,,,,,,,,,,,,,,,,purduefarms@gmail.com,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,consent_august_202_arm_1,1,4,,,,,,,,,,,,,,,,,,purduefarms@gmail.com,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,consent_august_202_arm_1,2,1,,,,,,,,,,,,,,,,,,purduefarms@gmail.com,2,q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1-q_taco_instruct_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-q_shirt_color_1+shirt_style_1+shirt_size_1+shirt_material_1,2,,,1,,,1,,3,3,3,4,8,2,,,,1,1,1,,,,,,,,,,1,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,consent_august_202_arm_1,3,3,,,,,,,,,,,,,,,,,,purduefarms@gmail.com,2,q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1-q_shirt_color_1+shirt_style_1+shirt_size_1+shirt_material_1,4,,,1,,1,,,4,2,2,2,8,2,,,,,,1,1,,,,,,,,,1,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,consent_august_202_arm_1,2,,,,,,,,,,,,,,,,,,,test@noreply.com,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,august_2024_arm_2,,,7,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-q_shirt_color_2+shirt_style_2+shirt_size_2+shirt_material_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2,10,1,0,0,0,0,0,0,7,4,3,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0
123,consent_august_202_arm_1,2,,,,,,,,,,,,,,,,,,,trump@aol.com,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
